,price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,floors
0,32000000,Shital height,169.539,East,5.0,4.0,2.0,3.0,4.0,13.0,Semi Furnished,3.0
1,28000000,Shital Height,126.759,West,5.0,4.0,2.0,4.0,2.0,13.0,Semi Furnished,3.5
5,40000000,Shital height,169.012,North,6.0,4.0,2.0,2.0,4.0,13.0,Full Furnished,2.5
6,28000000,Bhaisepati,169.012,South,6.0,3.0,2.0,2.0,4.0,16.0,Full Furnished,2.5
7,40000000,Harisiddhi,295.771,East,6.0,4.0,2.0,2.0,4.0,13.0,Full Furnished,2.5
8,47000000,Shital height,340.132,East,6.0,4.0,2.0,3.0,4.0,13.0,Full Furnished,3.0
9,47000000,Cheu dada,211.265,East,6.0,5.0,2.0,2.0,2.0,13.0,Full Furnished,2.5
10,52500000,Bhaisepati,382.385,East,6.0,5.0,2.0,2.0,4.0,16.0,Full Furnished,2.5
11,42500000,Shital Height,169.012,North,6.0,4.0,2.0,3.0,4.0,13.0,Full Furnished,3.0
12,60000000,Sifal chowk,361.522,East,8.0,5.0,3.0,4.0,2.0,13.0,Full Furnished,3.5
13,35000000,baneshwor,126.759,North,5.0,3.0,3.0,4.0,1.0,10.0,Unfurnished,3.5
14,63000000,Shital Height,253.518,South,6.0,5.0,2.0,2.0,4.0,13.0,Full Furnished,2.5
15,28000000,Gadatantra chowk ,126.759,East,6.0,4.0,2.0,3.0,3.0,14.0,Semi Furnished,3.0
16,53500000,Shital height,340.132,South,6.0,4.0,1.0,2.0,4.0,13.0,Full Furnished,2.5
17,39000000,Bhaisepati,425.692,South-East,6.0,5.0,2.0,4.0,4.0,20.0,Semi Furnished,3.5
18,45000000,Shital height,169.012,South,4.0,4.0,1.0,3.0,4.0,13.0,Full Furnished,3.0
19,47000000,Shital height,382.91200000000003,East,6.0,7.0,3.0,3.0,1.0,13.0,Full Furnished,3.0
20,25200000,Tikathali,126.759,South,4.0,4.0,1.0,2.0,4.0,13.0,Semi Furnished,2.5
22,39000000,Imadol,383.439,North,7.0,5.0,1.0,4.0,4.0,16.0,Semi Furnished,3.5
23,39000000,Shital height,27380.0,South-East,5.0,5.0,2.0,3.0,5.0,13.0,Full Furnished,3.0
24,39500000,Shital Height,169.012,South,5.0,3.0,2.0,4.0,3.0,13.0,Semi Furnished,3.5
25,86000000,Dallu,338.024,South-East,10.0,7.0,4.0,4.0,4.0,13.0,Semi Furnished,4.0
26,38500000,Bojepokhari,211.792,North,8.0,6.0,3.0,3.0,4.0,20.0,Semi Furnished,3.0
27,42000000,Shital height,254.572,South,7.0,5.0,2.0,4.0,4.0,13.0,Semi Furnished,3.5
28,42500000,Shital height,169.012,South,7.0,5.0,2.0,4.0,3.0,13.0,Semi Furnished,3.5
29,22000000,Tempo park,341.18600000000004,South,4.0,4.0,2.0,2.0,2.0,13.0,Semi Furnished,2.5
30,30000000,Shital height,297.352,East,5.0,4.0,2.0,2.0,3.0,13.0,Semi Furnished,2.5
31,63500000,PASIKOT ,509.144,North-East,6.0,5.0,3.0,2.0,5.0,13.0,Semi Furnished,2.5
32,50000000,Sano bharyang,211.265,North-East,6.0,4.0,2.0,3.0,4.0,13.0,Full Furnished,3.0
33,17500000,Tej Binayak,148.149,South,4.0,3.0,1.0,2.0,2.0,12.0,Semi Furnished,1.5
34,63000000,Veenas residency,338.024,North,5.0,3.0,1.0,2.0,4.0,20.0,Semi Furnished,2.5
35,32500000,Thapagaun,126.759,North,16.0,4.0,2.0,4.0,3.0,20.0,Semi Furnished,4.0
36,33500000,Near karuna hospital ,169.012,West,6.0,4.0,2.0,2.0,4.0,13.0,Semi Furnished,2.5
37,31000000,Lasuntar,211.792,South-West,6.0,4.0,2.0,2.0,4.0,13.0,Semi Furnished,2.5
38,31000000,Lasuntar,211.792,South-West,6.0,4.0,2.0,2.0,4.0,13.0,Semi Furnished,2.5
39,29500000, Near karuna hospital,297.879,South,6.0,4.0,2.0,2.0,4.0,13.0,Semi Furnished,2.5
40,36500000,Bhangal,340.132,North-West,6.0,4.0,2.0,2.0,4.0,13.0,Semi Furnished,2.5
41,45000000,Shankhamul,211.265,North-East,5.0,3.0,2.0,2.0,4.0,13.0,Semi Furnished,2.5
42,80000000,Hattigauda,552.451,South-West,5.0,6.0,3.0,2.0,4.0,13.0,Semi Furnished,2.5
43,23000000,Imadol,255.626,North-East,5.0,3.0,2.0,3.0,4.0,13.0,Full Furnished,3.0
44,35000000,Mulpani,340.132,North-East,4.0,3.0,1.0,4.0,4.0,26.0,Semi Furnished,3.5
45,34500000,Bhangal height,190.929,North-West,5.0,4.0,2.0,3.0,4.0,13.0,Semi Furnished,3.0
46,32500000,Gairigaun,297.879,North,6.0,4.0,3.0,4.0,3.0,12.0,Semi Furnished,3.5
47,39500000,Ganesh Chowk,254.572,South-West,5.0,5.0,2.0,2.0,4.0,18.0,Semi Furnished,2.5
48,268000000,Baluwatar near Nepal Rastra Bank,1014.072,East,5.0,6.0,1.0,2.0,1.0,13.0,Semi Furnished,2.5
