,price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,floors
0,"रु.2,40,00,000",Kapan,3.30anna,South,4,4,2,undefined,10,15,2.5
1,"रु.2,50,00,000",Imadol,3 ana 1 paisa,South,7,4,2,2,8,,3
2,"रु.3,65,00,000",Imadol,3.5 aana,Select,8,4,2,2,8,24,3
3,"रु.2,15,00,000",Imadol,Paune 3 ana,Select,7,4,2,2,7,,3
4,"रु.3,80,00,000",Imadol,4 Aana 1 Paisa,East,7,5,2,2,16,13,3.5
5,"रु.3,20,00,000",Imadol,3 Aana 2 Daam,East,5,4,2,2,13,13,3
6,"रु.11,50,00,000",Sinamangal,10 Aana,West,4,3,2,1,10,20Ft,2
7,"रु.4,00,00,000",Harisiddhi,7 aana,East,6,4,2,2,14,13,2.5
8,"रु.3,25,00,000",Safaray,4 aana,South,8,4,2,2,10,13ft,2.5
9,"रु.2,80,00,000",Bhaisepati,4 Aana,South,6,3,2,2,13,16,2.5
10,"रु.2,20,00,000",Bhaisepati,2.5 Aana,North,6,4,1,2,13,16,3.5
11,"रु.3,25,00,000",Bhaisepati,7 Aana,West,6,4,1,2,13,13,2
12,"रु.3,10,00,000","Rani,",2 kathha,Select,3,1,1,1,5,,undefined
13,"रु.2,70,00,000",Bhaisepati,4 Aana 3 Paisa,West,6,3,2,2,13,14,2.5
14,"रु.3,80,00,000",Bhaisepati,4.5 Aana,North,6,3,2,2,13,13,2.5
15,"रु.2,75,00,000",Gangabu,3anna,South,15,3,3,3,15,13,3
16,"रु.2,20,00,000",Imadol,2.5 ana,Select,5,3,2,2,7,13,2.5
17,"रु.3,20,00,000",Imadol,3.5 aana,East,7,4,2,2,7,13,3
18,"रु.11,50,00,000",Kathmandu,1.5 Aana,East,2,5,0,0,12,26,6
19,"रु.5,25,00,000",Bhaisepati,5.5 Aana,East,6,5,2,2,15,16,2.5
20,"रु.3,00,00,000",Bhaisepati,5 aana,Select,6,3,3,3,15,13,3
21,रु.0,Bhaisepati,7 Aana,South,5,6,2,2,15,20,2.5
22,"रु.3,90,00,000",Bhaisepati,4 Aana 3 Paisa,South,6,5,2,1,14,20,3.5
23,"रु.5,00,00,000",Bhhangal,5.5 aana,North,4,4,2,3,10,13,3.5
24,"रु.5,00,00,000",Bhungal,5.5 aana,North,3,3,1,2,7,13,2.5
25,"रु.5,35,00,000",Near,6.6,East,6,6,2,2,6,20,3.5
26,"रु.5,00,00,000",Safaray,6anna,North,4,4,3,1,7,16,2.5
27,"रु.3,95,00,000",Buddhanilkanth,4 Anna 1 paisa,West,4,4,1,1,7,13,2.5
28,"रु.3,00,00,000",Lubhu,4.5 aana,South,4,4,2,2,6,20,3
29,"रु.4,75,00,000",Pasikot,5 Aana,East,4,2,1,2,9,20,2.5
30,"रु.3,90,00,000",Imadol,3 Aana 3 Paisa,North,7,5,1,2,15,16,3.5
31,"रु.3,25,00,000",Bhaisepati,3 Aana 1 Daam,East,4,3,1,1,9,20,2.5
32,"रु.3,25,00,000",Sanagau,4 Aana 1 Paisa,South,7,4,2,2,15,13,3
33,"रु.6,30,00,000",Shital,6 aana,South,5,4,1,2,12,13,3.5
34,"रु.5,35,00,000",Shital,4.5 aana,South,6,4,1,1,12,13,3.5
35,"रु.3,95,00,000",Shital,4 aana,South,5,3,2,2,12,13,3.5
36,"रु.4,10,00,000",Shital,3 Aana 2 Paisa,East,7,5,2,2,16,13,3
37,"रु.4,20,00,000",Shital,4 Aana 1 Paisa,South,7,5,2,2,16,13,3.5
38,"रु.4,25,00,000",Shital,4 aana,South,7,5,2,2,16,13,3.5
39,"रु.2,80,00,000",Shital,3 aana,West,5,4,2,2,13,13,3.5
40,"रु.3,00,00,000",Shital,4 Aana 1 Paisa 2 Daam,East,5,4,2,2,13,13,2.5
41,"रु.3,65,00,000",Bhaisepati,4 aana,North,4,5,2,2,13,13,2.5
42,"रु.5,00,00,000",Swayambhu,5 aana,North,6,4,2,2,14,13,3
43,"रु.3,90,00,000",Shital,5 aana,South,5,undefined,2,2,10,16,3
44,"रु.3,10,00,000",Imadol,3 aana,West,8,4,2,2,8,20,3
45,"रु.1,75,00,000",Gothatar,3 Aana 1 Daam,South,4,3,1,1,9,12,1.5
46,"रु.4,10,00,000",Bhaisepati,4 aana,North,4,3,2,2,11,16,2.5
47,"रु.3,35,00,000",Imadol,3 Aana 1 Paisa 1 Daam,South,8,4,2,2,16,13,3.5
48,"रु.2,50,00,000",Imadol,3 aana,Select,undefined,7,2,2,8,16,3
49,"रु.2,00,00,000",Gokarna,3.5 aana,East,6,3,2,1,9,13,2.5
50,"रु.4,50,00,000",Baneshwor,5 Anna,East,5,3,2,2,6,14,2.5
51,"रु.1,60,00,000",Kapan,2 aana,Select,4,2,2,2,6,12,undefined
52,"रु.2,30,00,000",Imadol,2.5 Aana,North,5,3,2,2,12,13,3
53,"रु.1,90,00,000",Pepsicola,4 aana,North,3,2,1,1,6,4,2
